identifier,langcode,type,name
KH10_001,fi,bachelor,"Teologian ja uskonnontutkimuksen kandiohjelma"
MH10_001,fi,master,"Teologian ja uskonnontutkimuksen maisteriohjelma"
KH20_001,fi,bachelor,"Oikeusnotaarin koulutusohjelma"
MH20_001,fi,master,"Oikeustieteen maisterin koulutusohjelma"
MH20_002,fi,master,"Kansainvälisen liikejuridiikan maisteriohjelma"
KH30_001,fi,bachelor,"Psykologian kandiohjelma"
KH30_002,fi,bachelor,"Logopedian kandiohjelma"
MH30_001,fi,master,"Lääketieteen koulutusohjelma"
MH30_002,fi,master,"Translationaalisen lääketieteen koulutusohjelma"ionell medicin"
MH30_003,fi,master,"Hammaslääketieteen koulutusohjelma"
MH30_004,fi,master,"Psykologian maisteriohjelma"
MH30_005,fi,master,"Logopedian maisteriohjelma"
KH40_001,fi,bachelor,"Filosofian kandiohjelma""
KH40_002,fi,bachelor,"Taiteiden tutkimuksen kandiohjelma"
KH40_003,fi,bachelor,"Kielten kandiohjelma"
KH40_004,fi,bachelor,"Kotimaisten kielten ja kirjallisuuksien kandiohjelma"
KH40_005,fi,bachelor,"Kulttuurien tutkimuksen kandiohjelma"
KH40_006,fi,bachelor,"Historian kandiohjelma"
MH40_001,fi,master,"Taiteiden tutkimuksen maisteriohjelma"
MH40_002,fi,master,"Kielten maisteriohjelma"
MH40_004,fi,master,"Venäjän tutkimuksen maisteriohjelma"
MH40_005,fi,master,"Kielellisen diversiteetin ja digitaalisten menetelmien maisteriohjelma"
MH40_006,fi,master,"Kääntämisen ja tulkkauksen maisteriohjelma"
MH40_007,fi,master,"Suomen kielen ja suomalais-ugrilaisten kielten ja kulttuurien maisteriohjelma"
MH40_008,fi,master,"Pohjoismaisten kielten ja kirjallisuuksien maisteriohjelma"
MH40_009,fi,master,"Kirjallisuudentutkimuksen maisteriohjelma"
MH40_010,fi,master,"Kulttuuriperinnön maisteriohjelma"
MH40_011,fi,master,"Kulttuurienvälisen vuorovaikutuksen maisteriohjelma"
MH40_013,fi,master,"Kulttuurin ja kommunikaation maisteriohjelma"
MH40_014,fi,master,"Sukupuolentutkimuksen maisteriohjelma"
MH40_015,fi,master,"Historian maisteriohjelma"
KH50_001,fi,bachelor,"Matemaattisten tieteiden kandiohjelma"
KH50_002,fi,bachelor,"Fysikaalisten tieteiden kandiohjelma"
KH50_003,fi,bachelor,"Kemian kandiohjelma"
KH50_004,fi,bachelor,"Matematiikan, fysiikan ja kemian opettajan kandiohjelma"
KH50_005,fi,bachelor,"Tietojenkäsittelytieteen kandiohjelma"
KH50_006,fi,bachelor,"Geotieteiden kandiohjelma"
KH50_007,fi,bachelor,"Maantieteen kandiohjelma"
MH50_001,fi,master,"Matematiikan ja tilastotieteen maisteriohjelma"
MH50_002,fi,master,"Elämäntieteiden informatiikan maisteriohjelma"
MH50_003,fi,master,"Teoreettisten ja laskennallisten menetelmien maisteriohjelma"
